bias,pred_rg_lattice,pred_rg_observed,mean_contacts,cov_contact_rg,corr_contact_rg,d_rg_db,rg_scale_used,scale_label,rg_summary
8,3.7352274,1.5126196,0.0010687941,-0.00015654342,-0.0080887615,0.00015679234,0.4049605139,fitted scale,rms
8.05,3.735235,1.5126227,0.0010166625,-0.00014890747,-0.0078890205,0.0001491443,0.4049605139,fitted scale,rms
8.1,3.7352423,1.5126256,0.00096707401,-0.00014164405,-0.0076942133,0.00014186937,0.4049605139,fitted scale,rms
8.15,3.7352492,1.5126284,0.00091990445,-0.00013473498,-0.0075042178,0.00013494935,0.4049605139,fitted scale,rms
8.2,3.7352558,1.5126311,0.00087503583,-0.00012816296,-0.0073189151,0.00012836691,0.4049605139,fitted scale,rms
8.25,3.7352621,1.5126336,0.0008323559,-0.00012191155,-0.0071381892,0.00012210559,0.4049605139,fitted scale,rms
8.3,3.735268,1.5126361,0.00079175787,-0.00011596511,-0.0069619269,0.0001161497,0.4049605139,fitted scale,rms
8.35,3.7352737,1.5126384,0.00075314016,-0.00011030875,-0.006790018,0.00011048436,0.4049605139,fitted scale,rms
8.4,3.7352791,1.5126405,0.00071640617,-0.00010492831,-0.0066223549,0.00010509539,0.4049605139,fitted scale,rms
8.45,3.7352842,1.5126426,0.00068146399,-9.9810345e-05,-0.0064588326,9.9969291e-05,0.4049605139,fitted scale,rms
8.5,3.7352891,1.5126446,0.00064822622,-9.4942036e-05,-0.0062993489,9.5093247e-05,0.4049605139,fitted scale,rms
8.55,3.7352937,1.5126465,0.00061660969,-9.0311204e-05,-0.0061438038,9.0455058e-05,0.4049605139,fitted scale,rms
8.6,3.7352981,1.5126482,0.00058653533,-8.5906264e-05,-0.0059921002,8.6043117e-05,0.4049605139,fitted scale,rms
8.65,3.7353023,1.5126499,0.0005579279,-8.1716195e-05,-0.005844143,8.1846386e-05,0.4049605139,fitted scale,rms
8.7,3.7353063,1.5126516,0.00053071584,-7.7730513e-05,-0.0056998398,7.7854367e-05,0.4049605139,fitted scale,rms
8.75,3.7353101,1.5126531,0.00050483107,-7.3939247e-05,-0.0055591002,7.4057071e-05,0.4049605139,fitted scale,rms
8.8,3.7353137,1.5126546,0.00048020886,-7.0332912e-05,-0.0054218362,7.0445e-05,0.4049605139,fitted scale,rms
8.85,3.7353171,1.5126559,0.00045678762,-6.6902486e-05,-0.005287962,6.7009117e-05,0.4049605139,fitted scale,rms
8.9,3.7353204,1.5126573,0.00043450875,-6.3639388e-05,-0.0051573937,6.3740826e-05,0.4049605139,fitted scale,rms
8.95,3.7353235,1.5126585,0.00041331654,-6.0535455e-05,-0.0050300498,6.0631953e-05,0.4049605139,fitted scale,rms
9,3.7353265,1.5126597,0.00039315798,-5.7582921e-05,-0.0049058505,5.767472e-05,0.4049605139,fitted scale,rms
9.05,3.7353293,1.5126609,0.00037398264,-5.4774402e-05,-0.0047847182,5.486173e-05,0.4049605139,fitted scale,rms
9.1,3.735332,1.5126619,0.00035574257,-5.2102872e-05,-0.0046665771,5.2185946e-05,0.4049605139,fitted scale,rms
9.15,3.7353345,1.512663,0.00033839215,-4.9561648e-05,-0.0045513534,4.9640676e-05,0.4049605139,fitted scale,rms
9.2,3.7353369,1.512664,0.00032188799,-4.7144375e-05,-0.004438975,4.7219552e-05,0.4049605139,fitted scale,rms
9.25,3.7353392,1.5126649,0.00030618879,-4.4845004e-05,-0.0043293716,4.491652e-05,0.4049605139,fitted scale,rms
9.3,3.7353414,1.5126658,0.00029125531,-4.2657786e-05,-0.0042224746,4.2725818e-05,0.4049605139,fitted scale,rms
9.35,3.7353435,1.5126666,0.00027705018,-4.057725e-05,-0.0041182173,4.0641967e-05,0.4049605139,fitted scale,rms
9.4,3.7353455,1.5126674,0.00026353789,-3.8598191e-05,-0.0040165343,3.8659755e-05,0.4049605139,fitted scale,rms
9.45,3.7353474,1.5126682,0.00025068464,-3.671566e-05,-0.0039173622,3.6774224e-05,0.4049605139,fitted scale,rms
9.5,3.7353492,1.5126689,0.00023845828,-3.4924949e-05,-0.0038206389,3.4980658e-05,0.4049605139,fitted scale,rms
9.55,3.7353509,1.5126696,0.00022682824,-3.3221577e-05,-0.003726304,3.3274572e-05,0.4049605139,fitted scale,rms
9.6,3.7353525,1.5126703,0.00021576544,-3.1601286e-05,-0.0036342984,3.1651699e-05,0.4049605139,fitted scale,rms
9.65,3.735354,1.5126709,0.00020524219,-3.0060023e-05,-0.0035445647,3.0107979e-05,0.4049605139,fitted scale,rms
9.7,3.7353555,1.5126715,0.0001952322,-2.8593933e-05,-0.0034570466,2.8639551e-05,0.4049605139,fitted scale,rms
9.75,3.7353569,1.512672,0.00018571041,-2.7199349e-05,-0.0033716896,2.7242744e-05,0.4049605139,fitted scale,rms
9.8,3.7353582,1.5126726,0.00017665303,-2.5872784e-05,-0.0032884402,2.5914064e-05,0.4049605139,fitted scale,rms
9.85,3.7353595,1.5126731,0.0001680374,-2.461092e-05,-0.0032072464,2.4650188e-05,0.4049605139,fitted scale,rms
9.9,3.7353607,1.5126736,0.00015984198,-2.3410601e-05,-0.0031280574,2.3447955e-05,0.4049605139,fitted scale,rms
9.95,3.7353618,1.512674,0.00015204626,-2.2268825e-05,-0.0030508238,2.2304358e-05,0.4049605139,fitted scale,rms
10,3.7353629,1.5126745,0.00014463076,-2.1182736e-05,-0.0029754971,2.1746852e-05,0.4049605139,fitted scale,rms
