bias,pred_rg_lattice,pred_rg_observed,mean_contacts,cov_contact_rg,corr_contact_rg,d_rg_db,rg_scale_used,scale_label,rg_summary
4.95,3.7320696,1.287564,0.022621837,-0.0033168066,-0.037224847,0.0033216561,0.345,nominal scale,rms
5,3.7322315,1.2876199,0.021515925,-0.0031544898,-0.036302972,0.0031591226,0.345,nominal scale,rms
5.05,3.7323855,1.287673,0.0204642,-0.0030001423,-0.035404061,0.0030045671,0.345,nominal scale,rms
5.1,3.732532,1.2877235,0.019463996,-0.0028533702,-0.034527531,0.0028575954,0.345,nominal scale,rms
5.15,3.7326713,1.2877716,0.018512777,-0.0027137996,-0.033672816,0.0027178334,0.345,nominal scale,rms
5.2,3.7328038,1.2878173,0.017608136,-0.0025810751,-0.032839365,0.0025849254,0.345,nominal scale,rms
5.25,3.7329298,1.2878608,0.016747783,-0.002454859,-0.032026641,0.0024585336,0.345,nominal scale,rms
5.3,3.7330496,1.2879021,0.015929542,-0.0023348306,-0.031234123,0.0023383368,0.345,nominal scale,rms
5.35,3.7331636,1.2879414,0.015151345,-0.002220685,-0.0304613,0.0022240301,0.345,nominal scale,rms
5.4,3.733272,1.2879788,0.014411225,-0.0021121326,-0.029707678,0.0021153234,0.345,nominal scale,rms
5.45,3.7333751,1.2880144,0.013707314,-0.002008898,-0.028972773,0.0020119412,0.345,nominal scale,rms
5.5,3.7334732,1.2880483,0.013037834,-0.0019107196,-0.028256116,0.0019136217,0.345,nominal scale,rms
5.55,3.7335665,1.2880804,0.012401098,-0.0018173489,-0.027557248,0.001820116,0.345,nominal scale,rms
5.6,3.7336552,1.288111,0.011795499,-0.0017285494,-0.026875724,0.0017311876,0.345,nominal scale,rms
5.65,3.7337396,1.2881402,0.011219511,-0.0016440966,-0.026211108,0.0016466115,0.345,nominal scale,rms
5.7,3.7338199,1.2881679,0.010671682,-0.0015637769,-0.025562979,0.0015661741,0.345,nominal scale,rms
5.75,3.7338962,1.2881942,0.010150633,-0.0014873875,-0.024930921,0.0014896721,0.345,nominal scale,rms
