baseline,model,temperature_index,temperature,n_seeds,ess_contacts_min,ess_contacts_median,ess_contacts_total,tau_contacts_max,ess_rg_min,ess_rg_median,tau_rg_max,drift_contacts_max,seed_mean_contacts_std,seed_mean_rg_std,rhat_contacts,rhat_rg
final_joint_baseline_44mer,poly3,10,291.395,10,1360.9475732012077,1475.3570688702348,14497.593947138415,1.1021732427735733,1370.4553673963908,1465.1234966045477,1.0945267067323177,0.09506246521298703,0.15446072496125185,0.011793769126623128,1.0002964244297716,1.0001811973273333
final_joint_baseline_44mer,poly3,11,292.56,10,1292.0810194191777,1500.0,14505.093436650373,1.1609179126199742,1297.0913166048404,1492.4465931782038,1.1564336148100018,0.06641394957394584,0.1355250038430793,0.009928145421843853,1.0002474981728418,1.0001463989164479
final_joint_baseline_44mer,poly3,12,293.729,10,1067.375284245096,1419.498754408687,13698.860385364784,1.4053164075846847,960.758302131949,1371.254403658216,1.5612667584255675,0.08356587786063276,0.09835527438831128,0.009440814061697852,0.9999100801667261,1.0001899213080345
final_joint_baseline_44mer,poly3,13,294.903,10,954.4709597243946,1415.1585307477303,13615.590276855097,1.5715512187328655,1348.8210804043185,1455.4463336848783,1.1120822633869012,0.0904551281213034,0.10989249291921648,0.006852315552492078,1.0000250520525122,0.9998903755794117
final_joint_baseline_44mer,poly3,14,296.082,10,1245.8240416977264,1500.0,14617.158800881396,1.2040223577287041,1133.6829749838355,1426.2069176053756,1.3231212191586343,0.06706978179886286,0.1379639888602177,0.007909231167349366,1.0001026095921295,0.9999142086112666
final_joint_baseline_44mer,poly3,15,297.266,10,1096.8197790647805,1434.491716547741,13904.280823134133,1.3675902173089884,1283.880599997821,1474.4354627891687,1.1683329431121132,0.08337459489106645,0.10147148477391167,0.006812316504520097,0.9998460797277071,0.9997680238566312
final_joint_baseline_44mer,poly3,16,298.454,10,1200.7578439266294,1500.0,14631.518547589474,1.2492110774765468,1235.6145699130857,1459.5121008673545,1.2139707935829143,0.08529358582724618,0.06613256047935516,0.01013341050602991,0.9997495534369389,1.0000955856501896
final_joint_baseline_44mer,poly3,17,299.647,10,1332.2572799139732,1442.8733910471274,14360.073505359274,1.1259086533922775,1259.519793036837,1473.1542021863256,1.1909300737413102,0.10635441538127961,0.123870828778297,0.0073550880857714655,1.0001883592643255,0.9998604573385782
final_joint_baseline_44mer,poly3,18,300.845,10,1295.5691654956738,1483.715944255674,14412.488644929095,1.1577922969678833,1208.7547713544166,1472.408649531545,1.2409464976251896,0.07107451386819356,0.09863605380950247,0.0076664083442101886,0.9999128495046192,0.9999426629153504
final_joint_baseline_44mer,poly3,19,302.047,10,1293.8739605563524,1440.7690275767854,14280.123422124085,1.1593092107325629,1114.0938660145769,1468.547532210057,1.3463856554258902,0.15234434246841855,0.10739120593005334,0.008989458420452347,1.0002390426419772,1.0005983932519595
final_joint_baseline_44mer,poly3,20,303.254,10,937.8545894507405,1431.2743669104289,13732.868421539843,1.5993950628087057,1203.256101369385,1451.4150851065501,1.2466174061306656,0.04077094622821798,0.12851362227838395,0.006710938671729447,0.9997509835489578,0.999814716944145
final_joint_baseline_44mer,poly3,21,304.467,10,1212.6001283457235,1378.0820058452086,13724.430442585332,1.237011249575207,1217.613800162543,1500.0,1.2319177064187024,0.057884797970815256,0.08244661572462801,0.0062538392717327905,0.9996608819976156,0.9996354253945877
final_joint_baseline_44mer,poly3,22,305.683,10,1312.0415176392717,1455.1251747977471,14301.900184359403,1.1432565050981909,1229.6036661773694,1492.3951710993447,1.2199052761962292,0.07728114609459767,0.07493155395277609,0.00828522688414775,0.999685814277381,0.9997830771991131
final_joint_baseline_44mer,poly3,23,306.905,10,1202.160444759207,1493.749047281149,14451.016311503896,1.2477535810957834,1258.1436460907357,1467.1990444808184,1.192232703046868,0.06887654404708751,0.10776396016809682,0.007790447232114118,0.999884794028887,0.9999921236450641
final_joint_baseline_44mer,poly3,24,308.132,10,1249.2294129850693,1415.7625037296123,13901.513966685698,1.2007402198573818,1357.6874567440593,1426.3037553373958,1.1048198114735683,0.07732043917341375,0.1260668076854492,0.008764844636251457,0.9998341023672959,1.000001131255967
final_joint_baseline_44mer,poly3,25,309.364,10,1199.741333149529,1419.2655369030276,13985.122533487618,1.250269502728759,1110.4856682930983,1369.551747867904,1.350760341018732,0.09941933633057537,0.09475441942199836,0.004787593537554825,0.9997507180618372,0.9998138477324803
final_joint_baseline_44mer,poly3,26,310.6,10,936.2206064477913,1400.4042177564252,13444.823847280306,1.6021864821917355,1316.4646767234572,1411.3290840922884,1.1394153041260044,0.09862268026365512,0.07282139490256671,0.007628454320511077,0.9998005271594176,0.9999632514415837
final_joint_baseline_44mer,poly3,27,311.842,10,1199.3285637179426,1457.43842138115,14360.852625299265,1.2506998043555053,1396.5246907954868,1468.8147755642228,1.0740948655519809,0.07515236684684991,0.1266554556442178,0.009810337346272778,1.0000081182236684,0.9998622490445039
