baseline,model,seed,temperature_index,temperature,split,target_vs_fit_contact_js,target_vs_remd_contact_js,fit_vs_remd_contact_js,target_vs_fit_rg_js,target_vs_remd_rg_js,fit_vs_remd_rg_js,target_mean_contacts,fit_mean_contacts,remd_mean_contacts,target_mean_rg,fit_mean_rg,remd_mean_rg
final_joint_baseline_44mer,hs,2,13,294.903,train,0.07106778706678121,0.07413468887590335,0.002631897659520565,0.015986027610984745,0.02051214494878655,0.00911722222595001,10.913218154707565,10.594872802899417,10.545333333333332,1.6724701711734125,1.653669441740782,1.6553897637799524
final_joint_baseline_44mer,hs,2,14,296.082,train,0.07472570039348256,0.07528758919000847,0.004959199725607507,0.01785878092705153,0.02261258006544173,0.00756812790335939,11.137181242772805,10.708928592679532,10.722000000000001,1.665708368001392,1.648714779236065,1.648423647026675
final_joint_baseline_44mer,hs,2,15,297.266,train,0.07426716487541543,0.07637149757024653,0.004128872927635552,0.017408124545326403,0.024957979952695747,0.00868761147076013,11.28130401375449,10.824319576979889,10.682666666666666,1.6584518174231966,1.6437196908403813,1.6454824619205382
final_joint_baseline_44mer,hs,2,16,298.454,train,0.07463676571563226,0.07487434340276133,0.005016807743939514,0.015119295816806672,0.017525599532012326,0.006271017915214562,11.462236397662954,10.940958696563625,10.89,1.653061674629598,1.638688492226517,1.6424256831593576
final_joint_baseline_44mer,hs,2,17,299.647,train,0.07512865171375507,0.08449077893875093,0.0033158619045732386,0.01572251036214667,0.025411853742954522,0.009945276019833197,11.609464579149169,11.058954011009074,11.286666666666669,1.6439808387239871,1.6336170757426767,1.6140142107391806
final_joint_baseline_44mer,hs,2,18,300.845,train,0.0790519595291542,0.08046686114428017,0.004818238003740073,0.015454030879344473,0.025045687912366162,0.009363053130860177,11.843582253058244,11.178315908274588,10.940666666666667,1.6384022936673557,1.628505577426884,1.6455465961338143
final_joint_baseline_44mer,hs,2,19,302.047,train,0.08093427283657682,0.09414373948880232,0.005331486670108889,0.015870541189328916,0.023111019126231917,0.006693072090886814,12.03045767147465,11.298953409218882,11.242,1.6302856790997862,1.6233584582384497,1.6195806491930815
final_joint_baseline_44mer,hs,2,20,303.254,train,0.08314634412146733,0.08481201160899549,0.005004755106384814,0.015776582561894334,0.022414445320575,0.008883787401999195,12.269134182338263,11.420974824127715,11.414666666666667,1.6206763978222538,1.6181716669742907,1.635532544292806
final_joint_baseline_44mer,hs,2,21,304.467,train,0.0818801360103697,0.09177500969243182,0.0044385533975667395,0.01404969211305149,0.01817890832421816,0.00710863672011881,12.378670272655349,11.544490611282608,11.553333333333333,1.611008910967524,1.6129411314923883,1.6164299059149547
final_joint_baseline_44mer,hs,2,22,305.683,train,0.0848641477085035,0.08657878839686992,0.003644973341846242,0.014306568058675233,0.01980750543679234,0.006674545412424212,12.575666042845839,11.669201611159398,11.713333333333333,1.6024266517823778,1.607680098855876,1.608770332747556
final_joint_baseline_44mer,hs,2,23,306.905,train,0.08291919809774506,0.08704581176018757,0.0028385745223291196,0.013589996916871853,0.01863572140272146,0.011114196203917858,12.589017710425416,11.795420892718626,11.834666666666667,1.6065431646433592,1.6023759442407945,1.5927368564597069
final_joint_baseline_44mer,hs,2,24,308.132,train,0.07744844201558268,0.08019203606624979,0.004989805504395517,0.014004070038236317,0.015300094060815806,0.0063899586778310485,12.680625798794962,11.923051750034325,11.98466666666667,1.6048980912246824,1.597033366751441,1.5984025501643324
final_joint_baseline_44mer,hs,2,25,309.364,train,0.07854380886592,0.07870387258809895,0.004383366381503749,0.014312325011734458,0.021125272728144517,0.007743190259759439,12.839442212890269,12.052098581385199,12.199333333333332,1.602065164513469,1.5916527950991388,1.5775761321726243
final_joint_baseline_44mer,hs,2,26,310.6,train,0.0729221360903951,0.07205621802107973,0.00534125693810025,0.015118025943089624,0.024442100075985067,0.007994636252548946,12.760165616821862,12.182458782102579,12.167333333333334,1.6043305868470101,1.5862390955268681,1.5807914569372405
final_joint_baseline_44mer,hs,2,27,311.842,train,0.07384418481695626,0.09220131263117301,0.006223935297920409,0.015210069605861468,0.02274314937231285,0.00804646908381458,12.944969113261518,12.31434525943373,12.418666666666667,1.5958195529076442,1.5807840413758611,1.5750326907608418
final_joint_baseline_44mer,hs,2,28,313.088,train,0.07830816633322578,0.07773704452688016,0.003263024256407022,0.0161781270462694,0.018344360680102804,0.00825177893246646,13.29451341975534,12.447546264439897,12.506,1.5835136685075968,1.5752970056364135,1.5711634816498692
final_joint_baseline_44mer,hs,2,29,314.34,train,0.0748210521074752,0.08605066060287711,0.0030074988831087297,0.013811245360998549,0.02308707204106689,0.01131036829264849,13.48962745724545,12.582274785593542,12.550666666666666,1.5730841481092992,1.5697698287582917,1.5731793269903254
final_joint_baseline_44mer,hs,2,30,315.596,train,0.0763428456716969,0.08656338600595764,0.0030498623570559555,0.014174972231271505,0.01807984205819485,0.011900108469810211,13.672765276002677,12.718313266095484,12.588666666666668,1.567634268012788,1.5642120478280603,1.5804909144948918
final_joint_baseline_44mer,hs,2,31,316.858,train,0.07623675974331373,0.0754480313356379,0.005241842731396993,0.013826496189374262,0.015574151782181262,0.0066305360580348836,13.829060921429004,12.85587436046102,13.070666666666668,1.5631233357800103,1.5586155844302638,1.5550757306130285
final_joint_baseline_44mer,hs,2,32,318.124,train,0.07700933778740632,0.08820015837451459,0.0034635162574666407,0.013622634006697096,0.01856345261712055,0.007685717764358026,14.070463605380073,12.99473439821008,12.977333333333334,1.558760215078798,1.552990143393708,1.5630271432830174
final_joint_baseline_44mer,hs,2,33,319.396,train,0.0808522922712542,0.08807310594985608,0.0053438996601685345,0.013636736808536314,0.017422616206669683,0.006395059785744925,14.099472795325909,13.135105264216147,13.304666666666666,1.560315682543106,1.5473277414809836,1.5486631629240262
final_joint_baseline_44mer,hs,2,34,320.672,train,0.082620691001806,0.0920584481207718,0.004981727109537002,0.013478125930216103,0.01672706079763924,0.007031812482984968,14.246917031830076,13.276756890549201,13.104000000000001,1.5576941339806614,1.541638253421362,1.5614482723970913
final_joint_baseline_44mer,hs,2,35,321.954,train,0.07970746554178146,0.08881438222153833,0.0050956010354310105,0.01219686564404606,0.015810605429916202,0.006118800708988598,14.381535283914552,13.419899943592664,13.282666666666668,1.553315696022292,1.5359138049226373,1.5469809913318073
final_joint_baseline_44mer,hs,2,36,323.241,train,0.08185448035703152,0.09643111248644368,0.004556597725531327,0.012195598508039068,0.01829904046659367,0.009228019853648092,14.587121903718579,13.56441030064655,13.656666666666666,1.545519977992165,1.5301599677584123,1.5236098875377602
