model,temp_index,temperature,x_T,s_opt,s_local_sigma,js_at_opt,obs_mean_rg,pred_mean_lat,production_scalar
hs_quadratic:split_sens_run,17,299.647,-0.2338242188,0.463017621,0.003122345829,0.01132192219,1.643980839,3.539388995,0.4632050331
hs_quadratic:split_sens_run,18,300.845,-0.2188492187,0.4626863422,0.003617715961,0.01100349963,1.638402294,3.526957828,0.4632050331
hs_quadratic:split_sens_run,19,302.047,-0.2038242187,0.4620821356,0.004282472703,0.01142296819,1.630285679,3.514550329,0.4632050331
hs_quadratic:split_sens_run,20,303.254,-0.1887367187,0.4609886364,0.004968119564,0.01149896081,1.620676398,3.502164825,0.4632050331
hs_quadratic:split_sens_run,21,304.467,-0.1735742188,0.4621227485,0.003943465879,0.01047015871,1.611008911,3.489800255,0.4632050331
hs_quadratic:split_sens_run,22,305.683,-0.1583742188,0.4603325283,0.004816414104,0.01054046899,1.602426652,3.47749655,0.4632050331
hs_quadratic:split_sens_run,23,306.905,-0.1430992188,0.4628786625,0.003685101606,0.01007732416,1.606543165,3.465233048,0.4632050331
hs_quadratic:split_sens_run,24,308.132,-0.1277617187,0.4639389257,0.004240138316,0.01095963674,1.604898091,3.453030045,0.4632050331
hs_quadratic:split_sens_run,25,309.364,-0.1123617188,0.4658582595,0.006648226829,0.01070115132,1.602065165,3.440897996,0.4632050331
hs_quadratic:split_sens_run,26,310.6,-0.09691171875,0.4664495853,0.004490801948,0.01200147995,1.604330587,3.428857336,0.4632050331
hs_quadratic:split_sens_run,27,311.842,-0.08138671875,0.466115157,0.005092572446,0.0115807645,1.595819553,3.416899595,0.4632050331
hs_quadratic:split_sens_run,28,313.088,-0.06581171875,0.4632180111,0.00327076366,0.01226020305,1.583513669,3.405055278,0.4632050331
hs_quadratic:split_sens_run,29,314.34,-0.05016171875,0.4630222952,0.002109156374,0.01151922079,1.573084148,3.393316857,0.4632050331
hs_quadratic:split_sens_run,30,315.596,-0.03446171875,0.4623751948,0.003825247578,0.01163480032,1.567634268,3.381714745,0.4632050331
hs_quadratic:split_sens_run,31,316.858,-0.01868671875,0.4627200403,,0.01139243578,1.563123336,3.370242308,0.4632050331
hs_quadratic:split_sens_run,32,318.124,-0.00286171875,0.4640020599,0.005016264718,0.01118512837,1.558760215,3.358929689,0.4632050331
hs_quadratic:split_sens_run,33,319.396,0.01303828125,0.4662118251,0.003881780392,0.01135074582,1.560315683,3.347771093,0.4632050331
hs_quadratic:split_sens_run,34,320.672,0.02898828125,0.4662013957,0.004979366124,0.01122938479,1.557694134,3.336796201,0.4632050331
hs_quadratic:split_sens_run,35,321.954,0.04501328125,0.4665299287,0.004082888222,0.01106152885,1.553315696,3.325999998,0.4632050331
hs_quadratic:split_sens_run,36,323.241,0.06110078125,0.4653033473,0.005505129179,0.0110253733,1.545519978,3.315403375,0.4632050331
hs_quadratic:split_sens_run,37,324.533,0.07725078125,0.4664562594,0.00449909747,0.01100375466,1.545560569,3.305018511,0.4632050331
hs_quadratic:split_sens_run,38,325.83,0.09346328125,0.466360168,0.005279069045,0.01115259336,1.540479069,3.294857529,0.4632050331
