replicate,h1,s1,h2,s2,train_objective,validation_objective,all_objective,train_rmse,validation_rmse,all_rmse,T_bias_zero,T_rg_max_slope,collapse_detected
23,443.2182719205932,-2.8359822413838804,-280.4924813990233,10.0,0.006526135748474446,0.006192217360883731,0.006397705599401094,0.08078450190769543,0.07869064341383752,0.07998565871080324,,311.4,True
24,175.01710354011868,-2.9225750825397423,279.6039914905731,10.0,0.00632626144953722,0.0054937185571484,0.00600605264477229,0.07953779887284548,0.07411962329335195,0.07749872673000692,,313.2,True
25,445.15456439561535,-2.82524931777861,-280.67429159438336,10.0,0.006801126218575781,0.006385311493668211,0.006641197478226715,0.08246894093278864,0.0799081441010127,0.08149354255538727,,309.96,True
26,815.2400309526201,-3.187077447218635,-1386.9332644329386,10.0,0.006284443474654254,0.003939281721366737,0.005382458184928288,0.07927448186304502,0.06276369748004604,0.07336523825987541,,312.24,True
27,1169.747105622236,-2.9021708405411375,-2000.0,10.0,0.006153110944400272,0.005582028258062394,0.005933463757347242,0.07844176785616368,0.07471297248846678,0.07702897998381675,,312.96,True
28,457.51541938827495,-2.7889623802909593,-280.68264686128185,10.0,0.0068409488082343,0.006682900349527213,0.006780160939500806,0.08271002846229894,0.08174900824797333,0.08234173267244749,,311.03999999999996,True
29,689.8762764231444,-2.886031489945922,-887.4481176964902,10.0,0.006312763274280088,0.005738902036908319,0.006092047413752485,0.07945289972228885,0.07575554129506513,0.07805156893844277,,310.32,True
30,666.0005120843556,-3.0367770020365965,-939.9890254221485,10.0,0.005795613722896476,0.004511623033379962,0.00530177115000551,0.07612892829205253,0.06716861643193167,0.07281326218488984,,309.96,True
31,750.0790151345424,-1.2071296790905943,-0.02500165585358763,9.426385451758927,0.013740214441008787,0.018831562298241837,0.015698425155329192,0.11721866080538877,0.13722813960060026,0.1252933563894319,,311.4,True
32,781.9168443445939,-2.9926176548816374,-1174.953585544662,10.0,0.005801755426763627,0.004776591732358592,0.005407461698146305,0.07616925512806087,0.06911289121689666,0.07353544518221336,,310.56,True
33,182.76480663838174,-2.9102012085454962,272.3247799489735,10.0,0.0064980470344641545,0.005673385099614637,0.00618086936721434,0.08061046479498896,0.07532187663364899,0.0786185052466297,,314.03999999999996,True
34,1842.208722105288,4.385608925367959,717.692151664783,5.369087988188023,0.06321945540946003,0.05353350286596263,0.059494089046576416,0.2514347935538358,0.23137308155004252,0.2439141017788361,,346.92,True
35,385.20941309425683,-3.0672764615046417,-305.7877718495586,10.0,0.006209725071138367,0.004542850660001717,0.005568619528393501,0.07880180880626007,0.06740067254858602,0.07462318358522035,,314.52,True
36,114.41152510830584,-3.0729909203371184,313.08977581081655,10.0,0.006319081041375267,0.004568627727017952,0.0056458297666224545,0.07949264771898887,0.0675916246810058,0.07513873679150092,,314.03999999999996,True
37,1842.2070523481846,4.586007445830095,717.6920488627323,5.33707138156228,0.037076360323252434,0.0443619445747289,0.039878508112281844,0.19255222752087922,0.2106227541713594,0.19969603930043742,,336.84000000000003,True
