bootstrap_index,h,s,Tc,train_loss,validation_loss,all_loss,rg_train_loss,rg_validation_loss,rg_all_loss,combined_train_loss,combined_validation_loss,combined_all_loss,objective
15,352.72685088470786,1.3532167623060873,260.658056203507,2.3964485558787003,1.2494370147413327,3.6458855706200337,0.5633287904366115,0.2985695332464643,0.8618983236830758,2.678112951097006,1.398721781364565,4.076834732461571,2.667792225453785
16,316.7361739230043,1.2453067228554813,254.34390428466494,2.3981915200500765,1.2515097278880147,3.649701247938091,0.5528227114765443,0.29228622603374627,0.8451089375102905,2.6746028757883487,1.3976528409048878,4.0722557166932365,2.664913624234399
17,338.1779730056709,1.3127603420048373,257.60830989852127,2.3927198772421923,1.248621146591174,3.641341023833366,0.5614747903936996,0.2977394273201899,0.8592142177138896,2.673457272439042,1.397490860251269,4.070948132690311,2.5878692465798023
18,321.79229069741217,1.2632026397575478,254.7432063308348,2.395065111299674,1.2502832886826278,3.6453483999823018,0.5571318852604157,0.2950359314116093,0.852167816672025,2.673631053929882,1.3978012543884324,4.071432308318315,2.6920939153179617
19,303.50940895666497,1.2077419790767498,251.30318744793541,2.4005710764884607,1.253743386375904,3.6543144628643645,0.5543937651980668,0.2931944772700539,0.8475882424681207,2.677767959087494,1.400340625010931,4.078108584098425,2.7952889825827487
20,341.4288110125581,1.3246098468404752,257.7580197119559,2.3914740282837563,1.248367364704672,3.639841392988428,0.5656126232206604,0.30032407986961224,0.8659367030902727,2.6742803398940866,1.398529404639478,4.072809744533565,2.6075374443560317
21,351.0471067815891,1.349419568081786,260.14674389271397,2.394698443433218,1.2488550354232089,3.6435534788564268,0.5636930533390268,0.2989195588940684,0.862612612233095,2.6765449701027313,1.3983148148702431,4.074859784972975,2.672739012830454
22,324.6021153205376,1.2737137930880307,254.8469813878378,2.3937008092551184,1.249938767717117,3.6436395769722347,0.5609693784915758,0.2974161764046678,0.8583855548962436,2.6741854985009064,1.398646855919451,4.072832354420356,2.6452958540059432
23,308.0744444793394,1.2181799668685465,252.89731637212486,2.401498311153601,1.2533482438710355,3.6548465550246356,0.5505110374159059,0.2907774267918539,0.8412884642077598,2.676753829861554,1.3987369572669626,4.0754907871285155,2.8045503907169516
24,300.21308396227164,1.1947723469848477,251.27220655876044,2.403840923572907,1.2549560214690165,3.6587969450419235,0.5501609054467962,0.2905136050691935,0.8406745105159896,2.678921376296305,1.4002128240036134,4.079134200299919,2.7164943337904157
25,341.57728067464086,1.325289670893021,257.7378275682746,2.391390092441403,1.2483746473274837,3.6397647397688857,0.5660514419748104,0.300595589946159,0.8666470319209693,2.674415813428808,1.3986724423005632,4.07308825572937,2.6279811808158193
26,340.59804711378416,1.3210768502953592,257.818496355935,2.391964745772196,1.248402890024779,3.6403676357969754,0.5637112863236857,0.2991396707232538,0.8628509570469396,2.673820388934039,1.3979727253864058,4.071793114320445,2.708905640486134
27,334.536026142053,1.3041483288888158,256.5168537439989,2.391983795026283,1.2488762882716633,3.6408600832979463,0.5641299480194057,0.2994031668901244,0.8635331149095302,2.674048769035986,1.3985778717167254,4.072626640752711,2.7294547866700283
28,354.46391398537986,1.3602697003511919,260.5835547861318,2.394341487886255,1.248726679639762,3.6430681675260157,0.5656984928064724,0.3001628403403575,0.86586133314683,2.677190734289491,1.3988080998099408,4.075998834099431,2.5695159962008782
29,329.9977062130133,1.2855203720282113,256.7035990976667,2.3956867283053493,1.2498160741370419,3.645502802442391,0.556008328237001,0.29427210393112146,0.8502804321681223,2.67369089242385,1.3969521261026026,4.070643018526452,2.644101922736307
30,305.8520769325442,1.2168385826944554,251.34975277928277,2.3991826475570805,1.2533607582172663,3.652543405774347,0.5580032196018329,0.2954089728987627,0.8534121925005955,2.678184257357997,1.4010652446666476,4.079249502024645,2.708113507639971
31,350.83267573508664,1.3490077024638276,260.06721466032093,2.3944169860605466,1.2487675663343174,3.643184552394864,0.5638323067054197,0.29902471944688797,0.8628570261523076,2.6763331394132566,1.3982799260577614,4.074613065471017,2.57996885978376
32,328.3256791614858,1.2848906787160161,255.5281041415755,2.39301383539579,1.249460010361297,3.6424738457570873,0.5616669674618617,0.2978665700856514,0.859533537547513,2.673847319126721,1.3983932954041227,4.072240614530844,2.5882358187599634
33,334.27254406622774,1.2999336438910984,257.1458517418227,2.393815630084113,1.2490571375750517,3.6428727676591643,0.5589300652268029,0.29613989493652165,0.8550699601633246,2.6732806626975143,1.3971270850433124,4.070407747740827,2.5781852859858145
34,309.01599299598774,1.2259392601346806,252.06468464191246,2.3981100205348045,1.2525881560043344,3.650698176539139,0.5574187368327609,0.2951013508276203,0.8525200876603811,2.676819388951185,1.4001388314181444,4.076958220369329,2.732594563091925
