rg_weight,temp_index,temperature,in_validation,contact_loss,rg_loss,b_T,pred_mean_contacts,pred_mean_rg
0.1,30,315.596,1,0.05461343777,0.01178514801,-0.2433173025,12.33368724,1.58091354
0.1,31,316.858,0,0.05468768803,0.01146165706,-0.247670438,12.45043382,1.576099729
0.1,32,318.124,0,0.05601818848,0.01109141765,-0.2520026689,12.56826453,1.571255445
0.1,33,319.396,1,0.05897552982,0.0111866697,-0.2563208435,12.68736461,1.566373336
0.1,34,320.672,0,0.06057987562,0.01086939255,-0.2606181779,12.80754483,1.561461417
0.1,35,321.954,0,0.05883649392,0.01099438686,-0.2649014154,12.92899048,1.556512366
0.1,36,323.241,1,0.06126031301,0.0107796232,-0.2691671839,13.05160343,1.551530447
0.1,37,324.533,0,0.05820572725,0.01055225063,-0.2734154939,13.17537825,1.546516122
0.1,38,325.83,0,0.06078847483,0.01061994955,-0.2776463576,13.3003083,1.541469893
0.1,39,327.132,1,0.06229272793,0.01209701673,-0.2818597886,13.42638562,1.536392309
0.1,40,328.44,0,0.06021212127,0.01206295544,-0.2860589993,13.55369855,1.531280048
0.1,41,329.753,0,0.06336698446,0.01353220963,-0.2902407576,13.68213985,1.526137645
0.1,42,331.071,1,0.06069314107,0.01427644944,-0.2944050815,13.81169747,1.520965783
0.1,43,332.394,0,0.06382477356,0.01455862513,-0.2985519907,13.94235793,1.515765196
0.1,44,333.723,0,0.06346471009,0.01551767059,-0.302684603,14.07420571,1.510532719
0.1,45,335.057,1,0.06309522769,0.0151966474,-0.3067997939,14.20712578,1.505273109
0.1,46,336.396,0,0.06424743417,0.01571183392,-0.3108975873,14.34110014,1.499987241
0.1,47,337.741,0,0.06512132795,0.01646563803,-0.3149810319,14.47620986,1.494672084
0.1,48,339.091,1,0.06321134674,0.01673098635,-0.3190470819,14.61233392,1.489332557
0.1,49,340.446,0,0.06389108818,0.0163838845,-0.3230957651,14.74944953,1.483969681
0.1,50,341.807,0,0.06748747736,0.01814207372,-0.3271300627,14.88763404,1.478580563
0.1,51,343.173,1,0.06394810275,0.01700310737,-0.3311470054,15.0267604,1.473170278
0.1,52,344.545,0,0.06594619633,0.01764899058,-0.3351495303,15.16690324,1.467736031
