offset,temp_index,temperature,mass_below,mass_inside_positive,mass_internal_gap,mass_above,total_unsupported,geometric_support,positive_support,mass_negative,target_mean_shifted,target_std_shifted,rg_mass_below,rg_mass_inside,rg_mass_internal_gap,rg_mass_above,rg_total_unsupported
43,24,308.132,0.0001844835981,0.9630663837,0.0248048658,0.01194426693,0.03693361633,0.9878712495,0.9630663837,0.0001844835981,12.6806258,7.603782944,0,1,0.0004513100012,0,0.0004513100012
43,25,309.364,0.0004773750837,0.9593664415,0.02446899154,0.01568719189,0.04063355852,0.983835433,0.9593664415,0.0004773750837,12.83944221,7.734279196,0,1,0.0001338322707,0,0.0001338322707
43,26,310.6,0.0002567555231,0.9619408435,0.02344006756,0.01436233339,0.03805915647,0.9853809111,0.9619408435,0.0002567555231,12.76016562,7.642785073,0,1,0.0006707569853,0,0.0006707569853
43,27,311.842,0.0001559552066,0.9604162863,0.02542944739,0.01399831112,0.03958371371,0.9858457337,0.9604162863,0.0001559552066,12.94496911,7.659205561,0,1,0.0002233051807,0,0.0002233051807
43,28,313.088,4.754731909e-05,0.9564789879,0.0275557635,0.0159177013,0.04352101211,0.9840347514,0.9564789879,4.754731909e-05,13.29451342,7.823136992,0,1,0.0003638773451,0,0.0003638773451
43,29,314.34,0.0005344318666,0.9526306981,0.0283644483,0.01847042176,0.04736930193,0.9809951464,0.9526306981,0.0005344318666,13.48962746,7.826427693,0,1,0.001173388552,0,0.001173388552
43,30,315.596,0.0004792769764,0.9499395198,0.03056760088,0.01901360234,0.05006048019,0.9805071207,0.9499395198,0.0004792769764,13.67276528,7.874912808,0,1,0.0007187522316,0,0.0007187522316
43,31,316.858,0.0004222201935,0.9494066095,0.02776268943,0.02240848092,0.05059339054,0.9771692989,0.9494066095,0.0004222201935,13.82906092,7.933302338,0,1,0.0003556290748,0,0.0003556290748
43,32,318.124,7.417381778e-05,0.9465648013,0.03043675065,0.02292427424,0.05343519871,0.9770015519,0.9465648013,7.417381778e-05,14.07046361,7.976285166,0,1,0.0002217968041,0,0.0002217968041
43,33,319.396,0.0002130119895,0.9407297943,0.03264903232,0.0264081614,0.05927020571,0.9733788266,0.9407297943,0.0002130119895,14.0994728,8.153841928,0,1,0.000313841845,0,0.000313841845
43,34,320.672,0.0003955936948,0.9385757105,0.03430786319,0.02672083257,0.06142428945,0.9728835737,0.9385757105,0.0003955936948,14.24691703,8.192300263,0,1,0.0003594872714,0,0.0003594872714
43,35,321.954,0.0001844835981,0.9362774633,0.03465476843,0.02888328464,0.06372253667,0.9709322318,0.9362774633,0.0001844835981,14.38153528,8.241808699,0,1,0.0009420574123,0,0.0009420574123
43,36,323.241,9.319274542e-05,0.9349799921,0.03541932932,0.02950748585,0.06502000791,0.9703993214,0.9349799921,9.319274542e-05,14.5871219,8.239860614,0,1,0.0008076932643,0,0.0008076932643
43,37,324.533,0.0002016006329,0.9330469083,0.03738892946,0.02936256162,0.06695309172,0.9704358377,0.9330469083,0.0002016006329,14.56646811,8.206063656,0,1,0.0009374450274,0,0.0009374450274
43,38,325.83,0.0002871858073,0.9270087791,0.0394136845,0.03329035056,0.07299122086,0.9664224636,0.9270087791,0.0002871858073,14.80466496,8.336916809,0,1,0.0008064071988,0,0.0008064071988
43,39,327.132,0.0005325299738,0.9242038677,0.03939542633,0.03586817601,0.07579613231,0.963599294,0.9242038677,0.0005325299738,14.92632904,8.411982795,0,1,0.00183771521,0,0.00183771521
43,40,328.44,0.0002130119895,0.9224963484,0.04057231757,0.03671832207,0.07750365163,0.9630686659,0.9224963484,0.0002130119895,15.05278513,8.376984853,0,1,0.002329748687,0,0.002329748687
43,41,329.753,0.0003119104132,0.9165593999,0.04328593817,0.03984275151,0.08344060009,0.9598453381,0.9165593999,0.0003119104132,15.26595992,8.500750596,0,1,0.002955169812,0,0.002955169812
43,42,331.071,0.0002567555231,0.9163056874,0.04308814132,0.04034941574,0.08369431258,0.9593938287,0.9163056874,0.0002567555231,15.46511396,8.448258273,0,1,0.002551323179,0,0.002551323179
43,43,332.394,0.0003480463758,0.9101865376,0.04800681638,0.0414585996,0.08981346236,0.958193354,0.9101865376,0.0003480463758,15.65085737,8.585840931,0,1,0.002020074604,0,0.002020074604
43,44,333.723,0.0003936918021,0.9088502678,0.0483560039,0.04240003652,0.09114973221,0.9572062717,0.9088502678,0.0003936918021,15.79094471,8.563397097,0,1,0.001704946694,0,0.001704946694
43,45,335.057,0.0002111100968,0.9095436979,0.04685464975,0.04339054227,0.09045630211,0.9563983476,0.9095436979,0.0002111100968,15.88181106,8.54875731,0,1,0.00157027298,0,0.00157027298
43,46,336.396,0.0001293287079,0.9056063995,0.04719470817,0.04706956363,0.09439360051,0.9528011077,0.9056063995,0.0001293287079,15.95942996,8.588729702,0,1,0.00228410326,0,0.00228410326
43,47,337.741,0.0001103097803,0.9001042237,0.05238383239,0.04740163411,0.09989577628,0.9524880561,0.9001042237,0.0001103097803,16.19126879,8.631271767,0,1,0.00291178695,0,0.00291178695
43,48,339.091,0.0001103097803,0.901039955,0.05193194267,0.04691779259,0.09896004504,0.9529718976,0.901039955,0.0001103097803,16.29346586,8.56974256,0,1,0.004164272633,0,0.004164272633
43,49,340.446,0.0001559552066,0.8982730814,0.05199318362,0.04957777981,0.1017269186,0.950266265,0.8982730814,0.0001559552066,16.48523066,8.563613791,0,1,0.004332842674,0,0.004332842674
43,50,341.807,0.0003119104132,0.8883737295,0.05425073033,0.05706362972,0.1116262705,0.9426244599,0.8883737295,0.0003119104132,16.6913559,8.717177612,0,1,0.004996724709,0,0.004996724709
43,51,343.173,5.705678291e-05,0.8892923437,0.05525645122,0.05539414826,0.1107076563,0.944548795,0.8892923437,5.705678291e-05,16.85042336,8.608321249,0,1,0.004836537995,0,0.004836537995
43,52,344.545,0.0001198192441,0.8834082679,0.05987957215,0.0565923407,0.1165917321,0.9432878401,0.8834082679,0.0001198192441,17.10830252,8.659076022,0,1,0.003989851943,0,0.003989851943
43,53,345.922,5.515489015e-05,0.8838947721,0.0560514424,0.05999863064,0.1161052279,0.9399462145,0.8838947721,5.515489015e-05,17.15169268,8.570412316,0,1,0.004254055109,0,0.004254055109
43,54,347.305,0.0004127107297,0.8795991571,0.05693582253,0.06305230966,0.1204008429,0.9365349796,0.8795991571,0.0004127107297,17.19845148,8.714862343,0,1,0.004198033904,0,0.004198033904
43,55,348.693,0.0001920911691,0.8763975108,0.05953875297,0.06387164506,0.1236024892,0.9359362638,0.8763975108,0.0001920911691,17.36596829,8.669867562,0,1,0.004246870593,0,0.004246870593
43,56,350.086,0.0002111100968,0.8672729901,0.06309034751,0.06942555231,0.1327270099,0.9303633376,0.8672729901,0.0002111100968,17.64202612,8.757768753,0,1,0.003795735102,0,0.003795735102
43,57,351.486,0.0001198192441,0.8721871006,0.05806554683,0.06962753332,0.1278128994,0.9302526474,0.8721871006,0.0001198192441,17.5908983,8.757365641,0,1,0.002816725156,0,0.002816725156
43,58,352.891,0.0003955936948,0.8707538342,0.05791757958,0.07093299251,0.1292461658,0.9286714138,0.8707538342,0.0003955936948,17.76414514,8.715348554,0,1,0.003137306895,0,0.003137306895
43,59,354.301,0.0002396384882,0.8691265748,0.05847635567,0.07215743108,0.1308734252,0.9276029304,0.8691265748,0.0002396384882,17.84999087,8.70353022,0,1,0.004259373881,0,0.004259373881
43,60,355.717,0.0001008003165,0.865657142,0.06293134928,0.07131070842,0.134342858,0.9285884913,0.865657142,0.0001008003165,17.9561861,8.673840029,0,1,0.002871373041,0,0.002871373041
43,61,357.139,0.0001559552066,0.8679211551,0.06125121721,0.07067167245,0.1320788449,0.9291723723,0.8679211551,0.0001559552066,17.98555512,8.649268518,0,1,0.003317316469,0,0.003317316469
43,62,358.567,8.36832816e-05,0.8712928306,0.06268638549,0.0659371006,0.1287071694,0.9339792161,0.8712928306,8.36832816e-05,17.92919177,8.589782254,0,1,0.002827767868,0,0.002827767868
43,63,360,0,0.8671866441,0.0658378218,0.06697553405,0.1328133559,0.9330244659,0.8671866441,0,18.00590271,8.545623414,0,1,0.003307472567,0,0.003307472567
44,0,280,0.003337441422,0.9938827521,0.002779806463,0,0.006117247885,0.9966625586,0.9938827521,0.003337441422,7.984389264,5.885853904,0,1,0,0,0
44,1,281.119,0.003204308928,0.9937857556,0.002925871828,8.406366015e-05,0.006214244416,0.9967116274,0.9937857556,0.003204308928,8.245772473,5.951508461,0,1,0,0,0
44,2,282.243,0.002628796178,0.9946378035,0.002428336681,0.0003050635993,0.005362196458,0.9970661402,0.9946378035,0.002628796178,8.307776459,6.036969912,0,1,0,0,0
44,3,283.371,0.003629191772,0.9924357921,0.003377761548,0.0005572545798,0.0075642079,0.9958135536,0.9924357921,0.003629191772,8.500424122,6.144573653,0,1,0,0,0
44,4,284.504,0.003278102367,0.9926271225,0.003561484389,0.0005332907309,0.007372877488,0.9961886069,0.9926271225,0.003278102367,8.659105502,6.208575919,0,1,0,0,0
44,5,285.641,0.003127092082,0.992274892,0.003903825087,0.0006941908587,0.007725108028,0.9961787171,0.992274892,0.003127092082,8.834191087,6.267437365,0,1,0,0,0
44,6,286.783,0.002776002678,0.9901938409,0.005802674822,0.00122748159,0.00980615909,0.9959965157,0.9901938409,0.002776002678,9.003320324,6.406480106,0,1,9.129085266e-05,0,9.129085266e-05
44,7,287.929,0.003629191772,0.987592432,0.007094440387,0.001683935853,0.01240756801,0.9946868724,0.987592432,0.003629191772,9.215862546,6.532213825,0,1,9.129085266e-05,0,9.129085266e-05
