replicate,A,Tc,train_objective,validation_objective,all_objective,train_rmse,validation_rmse,all_rmse,T_bias_zero,T_rg_max_slope
124,24.82018206895903,339.9692832735078,0.05684809391192904,0.051418732775517215,0.05475987809023219,0.2384283831927924,0.2267569905769549,0.23400828637087231,339.9692832735078,347.03999999999996
125,6.356792274079057,299.31895193462924,0.011951360569534905,0.008436284499584232,0.010599408234938492,0.10932227846845721,0.0918492487698415,0.10295342750456875,299.31895193462924,323.52
126,18.965976850782816,311.94475544117705,0.012801216512087373,0.014800875896350808,0.013570316275265618,0.11314246113677824,0.12165885046452973,0.11649170045658025,311.94475544117705,320.4
127,6.614579106340235,301.0956745835174,0.011416684088037764,0.008025982875235874,0.010112568236960114,0.10684888435560647,0.0895878500424911,0.10056126608670017,301.0956745835174,324.48
128,18.059168528735878,311.14318922631026,0.01218471215363937,0.014312115130569184,0.013002944067843145,0.11038438364931595,0.11963325261217796,0.11403045237059768,311.14318922631026,320.03999999999996
129,8.459216394036767,320.49796641515525,0.01964601715549463,0.015323362044106883,0.01798345749726857,0.1401642506329436,0.12378756821307575,0.13410241421118627,320.49796641515525,340.08
130,9.180290922000363,305.05405091359887,0.010011151751838029,0.007795944705066204,0.009159149041541172,0.10005574322265579,0.08829464709180396,0.09570344320629834,305.05405091359887,322.2
131,8.23336044293098,312.6025814177834,0.012886026651675219,0.009261348867760939,0.01149191981170819,0.11351663601285593,0.09623590217668736,0.1072003722554553,312.6025814177834,332.15999999999997
132,14.107138563620852,308.5423577369668,0.010613127714414146,0.01148289852313868,0.010947654948538967,0.10302003549996547,0.10715828723499961,0.10463104199299063,308.5423577369668,319.8
133,9.752200483331897,311.53056446506633,0.01187875249098456,0.007987089731268838,0.010381959121863127,0.10898968983800514,0.08937051936331598,0.10189189919646766,311.53056446506633,327.96
134,9.650743134515288,302.68700483300705,0.010224617238649966,0.009055386560654868,0.009774913131728773,0.10111684943000333,0.09515979487501466,0.0988681603537194,302.68700483300705,318.84000000000003
135,10.134343306738197,303.1724471789274,0.010165348551985618,0.009350861645189067,0.009852084357063865,0.10082335320740735,0.09669985338762964,0.09925766649011987,303.1724471789274,318.6
136,6.70135786762971,300.29923366315154,0.0114295187201432,0.008134227051418617,0.01016209884755682,0.10690892722379736,0.09018994983599124,0.10080723608728105,300.29923366315154,323.4
137,6.643394032938024,298.3013344467833,0.01196346900707765,0.008683297041606475,0.01070186440497335,0.10937764400039732,0.0931842102590695,0.10344981587694273,298.3013344467833,321.48
138,14.10669332921801,308.79261878644684,0.010683784630278997,0.01138926994933415,0.0109551251376079,0.10336239466207717,0.10672052262491104,0.10466673367220312,308.79261878644684,320.03999999999996
139,10.318237403033818,308.83462375632956,0.010663932279668862,0.00779128531282298,0.009559068061651216,0.10326631725625186,0.08826825767410944,0.09777048665958053,308.83462375632956,324.24
140,6.5060040405235275,305.31034075981285,0.011933586748874556,0.008226428065460225,0.010507756486022889,0.10924095728651666,0.09069965857411055,0.1025073484488936,305.31034075981285,329.52
141,11.140398222044501,303.4109422755864,0.01032877918162293,0.010319704129375504,0.01032528877691238,0.10163060160022143,0.10158594454635693,0.10161342813286234,303.4109422755864,317.4
142,6.746443004244424,299.40100482969547,0.011578348776498904,0.00834923794600272,0.010336383072461909,0.10760273591549104,0.09137416454339115,0.10166800417270867,299.40100482969547,322.2
143,12.873835340900587,306.4944809736148,0.010184275245484705,0.01094232251358201,0.010475831887060591,0.10091717022134888,0.10460555680068821,0.10235151140584389,306.4944809736148,318.72
144,7.9435219394398695,301.5290640505789,0.010558577196964757,0.008068277899774459,0.009600769774968489,0.10275493757948936,0.08982359322457802,0.09798351787402047,301.5290640505789,321.12
145,9.835203124843803,302.9931261139414,0.010169200178056302,0.00911372328280335,0.009763247526035936,0.10084245226121934,0.09546582259009426,0.09880914697555047,302.9931261139414,318.84000000000003
146,7.854249368690164,305.6193403676651,0.010494599651392713,0.00738235509530191,0.00929758251443471,0.10244315326752058,0.08592063253550866,0.0964239727165123,305.6193403676651,325.68
147,7.859443773999955,303.9365294114622,0.010359268242257661,0.0074788152752634325,0.009251401716490651,0.10178049047954947,0.0864801438207837,0.09618420720934727,303.9365294114622,323.88
148,38.29254387868716,307.5048423121798,0.019081022989313724,0.01994295868177829,0.019412536717184712,0.13813407613371048,0.14121954072216172,0.13932887969543398,307.5048423121798,311.64
149,15.696515164690087,308.2619398635188,0.01089457383582527,0.013088680318998075,0.011738460944737888,0.10437707524080789,0.11440577047945648,0.10834417817648481,308.2619398635188,318.36
150,9.06287246041861,303.9469822737352,0.010035263542659866,0.008030826973429592,0.009264326400648221,0.10017616254708435,0.08961488142841897,0.09625137090269531,303.9469822737352,321.24
151,10.758538163559745,304.91491390920646,0.009957849598527392,0.009289163834595457,0.00970066276624588,0.0997890254413149,0.09638030833419997,0.09849194264631946,304.91491390920646,319.56
152,16.617023066368464,326.24169149904674,0.02777268822159857,0.02261080419512664,0.025787348211417056,0.16665139729866824,0.15036889370852816,0.16058439591509835,326.24169149904674,336.36
153,10.87944817941981,304.5231299981166,0.010009852301618095,0.009578443082058694,0.009843925678710634,0.10004924938058303,0.09786952070005601,0.09921655949845587,304.5231299981166,318.96
154,12.084608752338925,304.55152737460645,0.010273645251289744,0.010842820372306185,0.010492558759372992,0.10135899196070244,0.10412886426109806,0.10243319168791429,304.55152737460645,317.52
155,8.643200063806491,310.3976977742632,0.011529430589678123,0.007961566396650226,0.01015717513082124,0.1073751860984563,0.0892276100579312,0.10078281168344749,310.3976977742632,328.92
156,7.059171144483362,309.807764057015,0.012671312831339416,0.008945829447160896,0.011238434606655369,0.1125669260099938,0.09458239501704795,0.10601148337163936,309.807764057015,332.4
157,6.54103840585591,299.0236319776596,0.011832760658077545,0.008462932800834617,0.01053667302067642,0.10877849354572597,0.09199419982169864,0.10264829769984703,299.0236319776596,322.56
158,10.48105724188025,304.35644386040633,0.009987525414268533,0.00922027381967457,0.009692428647117009,0.09993760760728933,0.09602225689742233,0.09845013279380078,304.35644386040633,319.32
159,12.909365709485147,304.5286183834517,0.010596365358363318,0.011642866317548649,0.010998865727280753,0.10293864851630469,0.10790211451843124,0.10487547724459113,304.5286183834517,316.68
160,18.127432933927498,311.0182506493306,0.012132138283013221,0.014404955126555607,0.013006298607452603,0.11014598623196953,0.12002064458481969,0.11404516038593046,311.0182506493306,319.8
161,8.110692115965797,309.3260904559627,0.01133985266935702,0.007883608644362838,0.010010528044359257,0.10648874433176973,0.0887896877140743,0.10005262637412002,309.3260904559627,329.03999999999996
