temperature,K,JS_contact_full,JS_contact_overlap,JS_rg,combined_score,n_direct_seeds
283.371,0.85,0.6149331315617008,0.6102347971175857,0.5367815924891748,0.5758573620254378,2
283.371,0.95,0.6398948524505088,0.6368329263212311,0.5844794863242868,0.6121871693873978,2
283.371,1.05,0.6615244042511333,0.6596238718603011,0.6228038935176485,0.642164148884391,2
284.504,-0.4,0.053453669292500776,0.019624048531393254,0.07285575457856752,0.06315471193553415,2
284.504,-0.32,0.056739357640141985,0.023135376768059407,0.06341722219922712,0.06007828991968455,2
284.504,-0.24,0.06367542742194685,0.03050033970031228,0.06041830628785859,0.06204686685490272,2
284.504,-0.16,0.07257467367370193,0.0399450412708303,0.05758672253577039,0.06508069810473616,2
284.504,-0.08,0.08983059699356101,0.05814651238115123,0.054746718134992045,0.07228865756427652,2
284.504,0.0,0.11802922459775994,0.0877841212150261,0.057618431651283955,0.08782382812452194,2
284.504,0.08,0.1502038784023258,0.12158090898207131,0.06473190671071787,0.10746789255652184,2
284.504,0.14,0.17778588018586394,0.15052086581413804,0.07700868607172609,0.127397283128795,2
284.504,0.2,0.21111983077972807,0.18546473353877815,0.08699047414595273,0.1490551524628404,2
284.504,0.25,0.23831950551922115,0.21401152966348774,0.10227178086287146,0.17029564319104631,2
284.504,0.3,0.27823918178373463,0.25582600136689243,0.13096105697173777,0.2046001193777362,2
284.504,0.35,0.31157709296139396,0.29075444472704126,0.15129360283847054,0.23143534789993225,2
284.504,0.4,0.3430990664457594,0.32398938617527634,0.18115164885823692,0.2621253576519982,2
284.504,0.45,0.38614151935422003,0.36906221199296085,0.21707795900710658,0.3016097391806633,2
284.504,0.5,0.42060459145686757,0.4052504881930594,0.2577261862796664,0.33916538886826697,2
284.504,0.53,0.44132630044702786,0.42708360508038107,0.28427376553396,0.3628000329904939,2
284.504,0.5499999999999999,0.45545805707794595,0.44202909731598494,0.3018609326281625,0.3786594948530542,2
284.504,0.57,0.4695198929396681,0.4567230211994756,0.31769080524295223,0.3936053490913102,2
