temperature,K_best_contact_grid,K_best_rg_grid,K_best_combined_grid,K_best_combined_quadratic,JS_contact_min,JS_contact_overlap_at_contact_min,JS_rg_min,JS_contact_at_combined,JS_contact_overlap_at_combined,JS_rg_at_combined,combined_score_best,second_best_score_gap,contact_rg_K_difference,contact_rg_disagreement_raw,contact_rg_disagreement_resolved,K_old,K_difference_from_old,old_mapping_comparison_resolved,contact_boundary_hit_low,contact_boundary_hit_high,rg_boundary_hit_low,rg_boundary_hit_high,combined_boundary_hit_low,combined_boundary_hit_high,n_direct_seeds_at_best_K
294.903,-0.32,-0.08,-0.16,-0.1909319256355662,0.04995556141224697,0.024188181420972676,0.04899555208639996,0.05622259695733429,0.030839588037706093,0.05382286291796469,0.05502272993764949,0.00048584803346813504,0.24,True,True,-0.3218658408532329,0.16186584085323288,True,False,False,False,False,False,False,2
296.082,-0.32,-0.08,-0.16,-0.18025152909102765,0.0499717904970499,0.024629069135116134,0.049352743120462714,0.054854754909838384,0.02983589747290247,0.05466227988008273,0.05475851739496056,0.001012987385825101,0.24,True,True,-0.3131199876283637,0.15311998762836368,True,False,False,False,False,False,False,2
297.266,-0.32,0.0,-0.16,-0.17437724213476902,0.051302348223864126,0.02565347020904684,0.0497808003970269,0.05530018744480504,0.02995358991934427,0.05529824071233712,0.05529921407857108,0.0013819338759287897,0.32,True,True,-0.30440686085000634,0.14440686085000634,True,False,False,False,False,False,False,2
298.454,-0.32,0.0,-0.16,-0.17175852728065652,0.05118805570716238,0.02591015887296835,0.04832659828585952,0.05508128111379404,0.030096763723875368,0.0542454868747399,0.05466338399426697,0.0015112598408029074,0.32,True,True,-0.2957337804311162,0.1357337804311162,True,False,False,False,False,False,False,2
299.647,-0.24,0.0,-0.16,-0.16093001547243857,0.05161172297857814,0.02712094831768485,0.04773197651552906,0.05416930566904306,0.029852405830480745,0.05483727909820696,0.05450329238362501,0.002021065605464202,0.24,True,True,-0.2870934036408028,0.12709340364080282,True,False,False,False,False,False,False,2
300.845,-0.24,0.0,-0.16,-0.160948229310724,0.05072840516165992,0.02678850133379608,0.047622328517288835,0.053155136847600974,0.02937914896982471,0.05444205310042795,0.05379859497401446,0.002050551083236596,0.24,True,True,-0.27848577222602855,0.11848577222602855,True,False,False,False,False,False,False,2
302.047,-0.24,0.0,-0.16,-0.14879506625918065,0.05089088737716579,0.026665880329894587,0.04688644306169501,0.05240534310963961,0.028318478677524003,0.054567543836891955,0.05348644347326578,0.0015139585028163538,0.24,True,True,-0.2699180235420877,0.10991802354208771,True,False,False,False,False,False,False,2
303.254,-0.24,0.0,-0.16,-0.1442105193007023,0.04934778593089163,0.026621221387271955,0.04699706992168615,0.05064788235137943,0.028041798033861497,0.05530820236810029,0.05297804235973986,0.0012985778676023185,0.24,True,True,-0.26138297920855513,0.10138297920855513,True,False,False,False,False,False,False,2
304.467,-0.24,0.0,-0.16,-0.12494765646754971,0.05036164747525457,0.027524546302959446,0.04593391799463299,0.05048832739118521,0.027739412144202197,0.05546045547996742,0.052974391435576314,0.00023338815476318248,0.24,True,True,-0.2528736836088823,0.09287368360888229,True,False,False,False,False,False,False,2
305.683,-0.16,0.0,-0.08,-0.11675337075257083,0.05121504228381196,0.028577077090422884,0.043378180113414364,0.05807785806608226,0.035728050521241804,0.04663018570647917,0.052354021886280716,0.00027300457352574803,0.16,True,True,-0.2444111260454458,0.16441112604544578,True,False,False,False,False,False,False,2
306.905,-0.16,0.0,-0.08,-0.11581506735920333,0.05073267437417195,0.02925313639505559,0.04424602844800989,0.05737889237569346,0.0361656115034609,0.047457311776800244,0.05241810207624685,0.0003573210555341613,0.16,True,True,-0.23597436923117754,0.15597436923117752,True,False,False,False,False,False,False,2
308.132,-0.16,0.08,-0.08,-0.11139200251721981,0.049582968841291555,0.028964127389733633,0.043381874785251046,0.05575395767721468,0.035376342537500105,0.04687374568257123,0.051313851679892955,0.0007278139717699431,0.24,True,True,-0.2275704209347158,0.14757042093471578,True,False,False,False,False,False,False,2
309.364,-0.16,0.08,-0.08,-0.1069584570871688,0.048883712362749146,0.028426428003326988,0.04159677114873063,0.05461775746115138,0.03438972221128854,0.04559571221354526,0.050106734837348316,0.0011089112917577401,0.24,True,True,-0.2191992982591191,0.1391992982591191,True,False,False,False,False,False,False,2
310.6,-0.16,0.08,-0.08,-0.09974993506548684,0.048565564598939084,0.029069740856212584,0.04139900085354843,0.05378694466569442,0.034493883759083584,0.046694156509380656,0.05024055058753754,0.0017391666842305198,0.24,True,True,-0.21086772877239413,0.1308677287723941,True,False,False,False,False,False,False,2
311.842,-0.16,0.08,-0.08,-0.09724827415653103,0.04840789139329428,0.028273656579460744,0.041991357340808444,0.05313245333311868,0.03318972320778187,0.04744271600488316,0.05028758466900092,0.001953253664415802,0.24,True,True,-0.20256224157463554,0.12256224157463554,True,False,False,False,False,False,False,2
313.088,-0.16,0.08,-0.08,-0.09026448382434499,0.0482506647876529,0.02897378647328542,0.04063225827624625,0.05236947746474589,0.033264332545191774,0.04704935673345012,0.049709417099098006,0.002488929365110394,0.24,True,True,-0.19429621896854132,0.11429621896854132,True,False,False,False,False,False,False,2
314.34,-0.16,0.08,-0.08,-0.09080716132833129,0.047215487538442735,0.028801617942403546,0.0408854851286812,0.051335683506490384,0.03308701398670426,0.04742748760896437,0.04938158555772738,0.002440103582149973,0.24,True,True,-0.18605639690166087,0.10605639690166087,True,False,False,False,False,False,False,2
315.596,-0.16,0.08,-0.08,-0.08343018926902723,0.047662145920058366,0.029539259958976646,0.039717886119549614,0.051144300630469375,0.03317352730602404,0.04745814922866937,0.04930122492956937,0.0028585335817349483,0.24,True,True,-0.17785593951319645,0.09785593951319645,True,False,False,False,False,False,False,2
316.858,-0.16,0.08,-0.08,-0.07096936525814647,0.04692555787901135,0.02923432928789766,0.037900895091469655,0.04887486320983535,0.03129367975729972,0.04674632277589022,0.047810592992862784,0.0024408167163267394,0.24,True,True,-0.16968178648317456,0.08968178648317456,True,False,False,False,False,False,False,2
318.124,-0.16,0.08,-0.08,-0.0677007796110408,0.04595336492912741,0.02899579750553362,0.03760598019640318,0.0477396840810109,0.030882190703881554,0.04677426537070006,0.04725697472585548,0.0020687017770013444,0.24,True,True,-0.1615468873874908,0.08154688738749079,True,False,False,False,False,False,False,2
319.396,-0.16,0.08,-0.08,-0.06032986028286468,0.045761329116330234,0.029420771647948533,0.037760483222232716,0.046822783204966065,0.0305653404863699,0.04762746701808991,0.04722512511152799,0.0014651757819842542,0.24,True,True,-0.15343838255761066,0.07343838255761066,True,False,False,False,False,False,False,2
320.672,-0.16,0.08,-0.08,-0.06183510975076775,0.04579189095870098,0.03005591440424251,0.03774814103820712,0.04714407153828944,0.03149576546745278,0.047753617435626436,0.047448844486957936,0.001576997900256047,0.24,True,True,-0.1453690105602503,0.06536901056025031,True,False,False,False,False,False,False,2
321.954,-0.16,0.08,-0.08,-0.05612267235430502,0.04493585357750235,0.02947245931982749,0.03664860401825844,0.04578459603597601,0.030398693990281844,0.04701432824593908,0.04639946214095755,0.0011570448835623928,0.24,True,True,-0.1373261093315279,0.05732610933152789,True,False,False,False,False,False,False,2
323.241,-0.16,0.08,-0.08,-0.05103362787721691,0.04551983241928014,0.031074284302867128,0.03660717129052897,0.04595474954866359,0.03157429365495827,0.04784664241296331,0.04690069598081345,0.0007775993020129324,0.24,True,True,-0.12931601084542366,0.049316010845423655,True,False,False,False,False,False,False,2
324.533,-0.08,0.08,-0.08,-0.04303580264130237,0.04611440596977745,0.03149177309571595,0.03768707262757158,0.04611440596977745,0.03149177309571595,0.049408440589776004,0.04776142327977673,0.00020373382432320453,0.16,True,True,-0.12133869507342943,0.041338695073429424,True,False,False,False,False,False,False,2
325.83,-0.08,0.08,0.0,-0.03871902058751827,0.04578543980854458,0.03149647098779191,0.036818212631752056,0.05338733825842454,0.039282084445693394,0.04124301082664391,0.04731517454253423,6.056766206385955e-05,0.16,True,True,-0.11339413928570696,0.11339413928570696,True,False,False,False,False,False,False,2
327.132,-0.08,0.08,0.0,-0.023833296637572464,0.04536089435595597,0.03174355131802629,0.03714974039046519,0.05204470198157517,0.03858810273934799,0.04233190132309724,0.0471883016523362,0.000743481230713959,0.16,True,True,-0.10548231810790476,0.10548231810790476,True,False,False,False,False,False,False,2
328.44,-0.08,0.08,0.0,-0.01409265114568461,0.044834632107275486,0.03152037852785144,0.036431491008809394,0.05118022724882895,0.03801622177834148,0.042273602876436875,0.046726915062632914,0.0011963597901471987,0.16,True,True,-0.09759719918837106,0.09759719918837106,True,False,False,False,False,False,False,2
329.753,-0.08,0.08,0.0,0.007675327791978781,0.04377465692281879,0.030995308851762306,0.0355034519228658,0.048468101890190116,0.03580228405380317,0.04165010986599275,0.045059105878091435,0.001587978500413846,0.16,True,True,-0.08974485182606018,0.08974485182606018,True,False,False,False,False,False,False,2
